Site,Site_Num,Phase,Phase_Num,Distance
BESL,1,Pre,1,7
BODA,2,Pre,1,10
EDGO,3,Pre,1,15
FORL,4,Pre,1,2
SMPA,5,Pre,1,65
SOFO,6,Pre,1,10
TENO,7,Pre,1,15
BESL,1,During,2,50
BODA,2,During,2,5
EDGO,3,During,2,25
FORL,4,During,2,27
SMPA,5,During,2,50
SOFO,6,During,2,50
TENO,7,During,2,67
BESL,1,Post,3,25
BODA,2,Post,3,7
EDGO,3,Post,3,55
FORL,4,Post,3,42
SMPA,5,Post,3,75
SOFO,6,Post,3,70
TENO,7,Post,3,20
